gene_name,Ref,Site,cFC,mcDiff,t,P.Value,adjusted.P.Value
SOX4,SOX4_16,SOX4_19,-0.271409395242041,-0.0940177302818018,-0.892771668678494,0.40635915517526,1
SOX4,SOX4_19,SOX4_20,0.347043835369248,0.112717958630081,1.02769363149688,0.343729107941641,1
SPAG9,SPAG9_01,SPAG9_05,-0.257368299384982,-0.0906814110995774,-1.83043021289827,0.116918414410135,0.116918414410135
SPAST,SPAST_01,SPAST_10,-0.44048048697085,-0.148202100972415,-2.28499020213562,0.0623712059817041,0.124742411963408
SPAST,SPAST_10,SPAST_11,0.286122917127572,0.100811918298839,1.68960903912474,0.14206256310658,0.14206256310658
SPCS3,SPCS3_07,SPCS3_12,-0.186782713439567,-0.0604524012458836,-0.503483368174767,0.632570861827105,1
SPCS3,SPCS3_12,SPCS3_20,0.290736340528185,0.0992934494451164,2.23205861939734,0.067075690232649,0.201227070697947
SPCS3,SPCS3_20,SPCS3_24,-0.0927544616142935,-0.0318047926037482,-0.397074118825066,0.705052167882524,1
SPECC1L,SPECC1L_02,SPECC1L_03,0.179034843328609,0.0608319661419923,0.769086525548497,0.4710227228641,0.4710227228641
SPIN1,SPIN1_02,SPIN1_11,-0.522434442176156,-0.159436211114585,-6.0698386692044,0.000907631217513303,0.00998394339264634
SPIN1,SPIN1_04,SPIN1_12,-0.57720154253652,-0.201095509500727,-3.70079951443201,0.0100788247620971,0.0907094228588742
SPIN1,SPIN1_05,SPIN1_14,0.528348414136659,0.163095988508465,3.91936198005161,0.0078077280438211,0.078077280438211
SPIN1,SPIN1_06,SPIN1_10,-0.352799213376948,-0.118786510015251,-2.00604892850874,0.0916548833634582,0.366619533453833
SPIN1,SPIN1_07,SPIN1_08,-0.42702387118422,-0.135800597907715,-3.51907457828194,0.0125326107350573,0.100260885880459
SPIN1,SPIN1_08,SPIN1_13,0.257376931456296,0.0837746701667576,2.45930066677877,0.0491661039882152,0.294996623929291
SPIN1,SPIN1_09,SPIN1_12,-0.222884115174348,-0.0785557259827951,-2.77104331846387,0.0323778029229959,0.226644620460971
SPIN1,SPIN1_10,SPIN1_13,0.309372147986644,0.096387239034807,1.56771778289766,0.167992795512299,0.366619533453833
SPIN1,SPIN1_11,SPIN1_13,0.248197674154641,0.0866375548008597,2.44646193325821,0.0500305628068659,0.294996623929291
SPIN1,SPIN1_12,SPIN1_13,0.364441198690643,0.12048978817686,1.84157514012469,0.115126569119616,0.366619533453833
SPIN1,SPIN1_13,SPIN1_14,-0.0925510320484934,-0.0313460405993504,-1.0571518003232,0.331136251088105,0.366619533453833
SPIRE1,SPIRE1_03,SPIRE1_04,-0.130670913330287,-0.036184795330211,-0.429861595600635,0.682305752703188,0.682305752703188
SPOCK1,SPOCK1_01,SPOCK1_02,-0.357835876963407,-0.0833623992212254,-1.89707385260193,0.10660144408139,0.533007220406951
SPOCK1,SPOCK1_02,SPOCK1_11,0.541590082326294,0.186723099167229,3.93601178439985,0.00765963730266925,0.0689367357240232
SPOCK1,SPOCK1_03,SPOCK1_12,-0.543069297851777,-0.1768865937077,-1.69556262503174,0.140900083632128,0.533007220406951
SPOCK1,SPOCK1_05,SPOCK1_12,-0.745817275927391,-0.256216657934,-3.62201368023129,0.0110704473474035,0.0800707871054349
